Date	Open	High	Low	Close
Jan 29, 2025 00:00	1.95282	1.94761	1.95695	1.94769
Jan 28, 2025 00:00	1.95210	1.94799	1.95557	1.95278
Jan 27, 2025 00:00	1.94141	1.93581	1.95695	1.95213
Jan 26, 2025 00:00	1.94156	1.93596	1.94160	1.93716
Jan 24, 2025 00:00	1.94220	1.93140	1.94390	1.93274
Jan 23, 2025 00:00	1.95236	1.94009	1.95293	1.94228
Jan 22, 2025 00:00	1.94848	1.94390	1.95511	1.94898
Jan 21, 2025 00:00	1.94299	1.94205	1.95630	1.94856
Jan 20, 2025 00:00	1.96140	1.94005	1.96290	1.94277
Jan 19, 2025 00:00	1.95838	1.95645	1.97153	1.95679
Jan 17, 2025 00:00	1.95760	1.95234	1.96773	1.95844
Jan 16, 2025 00:00	1.95492	1.94689	1.96182	1.95894
Jan 15, 2025 00:00	1.95637	1.94708	1.95867	1.94825
Jan 14, 2025 00:00	1.94928	1.94314	1.96071	1.95626
Jan 13, 2025 00:00	1.96055	1.94534	1.96812	1.94932
Jan 12, 2025 00:00	1.96703	1.95979	1.96878	1.96048
Jan 10, 2025 00:00	1.96063	1.95833	1.96541	1.96329
Jan 09, 2025 00:00	1.95856	1.95656	1.96614	1.96048
Jan 08, 2025 00:00	1.95187	1.94909	1.96252	1.95863
Jan 07, 2025 00:00	1.96040	1.94235	1.96040	1.95168
Jan 06, 2025 00:00	1.95798	1.95175	1.96298	1.96040
Jan 05, 2025 00:00	1.96155	1.95748	1.96371	1.95817
Jan 03, 2025 00:00	1.96052	1.95542	1.96502	1.96167
Jan 02, 2025 00:00	1.96831	1.95603	1.97184	1.96052
Jan 01, 2025 00:00	1.97660	1.96788	1.97714	1.96827
Dec 31, 2024 00:00	1.96348	1.96194	1.97336	1.96951
Dec 30, 2024 00:00	1.96657	1.95611	1.97095	1.96356
Dec 29, 2024 00:00	1.97433	1.96468	1.97640	1.96661
Dec 27, 2024 00:00	1.97769	1.96699	1.98079	1.96750
Dec 26, 2024 00:00	1.96773	1.96440	1.98083	1.97789
Dec 25, 2024 00:00	1.96998	1.93536	2.00361	1.96800
Dec 24, 2024 00:00	1.97789	1.96556	1.97789	1.97029
Dec 23, 2024 00:00	1.98134	1.96804	1.98405	1.97141
Dec 22, 2024 00:00	1.98409	1.98004	1.98997	1.98145
Dec 20, 2024 00:00	1.97726	1.97566	1.98779	1.97941
Dec 19, 2024 00:00	1.97488	1.96726	1.98134	1.97718
Dec 18, 2024 00:00	1.94624	1.94594	1.97675	1.97472
Dec 17, 2024 00:00	1.93155	1.93128	1.94989	1.94621
Dec 16, 2024 00:00	1.94405	1.93132	1.94571	1.93162
Dec 15, 2024 00:00	1.94860	1.94175	1.94886	1.94390
Dec 13, 2024 00:00	1.94318	1.93930	1.94746	1.94556
Dec 12, 2024 00:00	1.94265	1.94212	1.94810	1.94322
Dec 11, 2024 00:00	1.95396	1.95366	1.95982	1.95469
Dec 10, 2024 00:00	1.94318	1.94307	1.95695	1.95278
Dec 09, 2024 00:00	1.94974	1.93573	1.95779	1.94322
Dec 08, 2024 00:00	1.95412	1.94898	1.95412	1.94970
Dec 05, 2024 00:00	1.93222	1.92408	1.93825	1.93573
Dec 04, 2024 00:00	1.91843	1.91732	1.93682	1.93229
Dec 03, 2024 00:00	1.91644	1.91641	1.92496	1.91843
Dec 02, 2024 00:00	1.91961	1.91044	1.92156	1.91769
Dec 01, 2024 00:00	1.92526	1.91850	1.92534	1.91964
